33,14,0,134,1.1,6.4,0.16699999999999998,0.8,4.6,0.17600000000000002,0.3,1.9,0.14300000000000002,0.8,1.1,0.75,0.8,2.1,3.0,4.8,3.0,0.3,0.8,3.8,3.8
24,6,0,99,2.9,8.0,0.364,0.4,3.3,0.111,2.5,4.7,0.5379999999999999,1.1,1.8,0.6,0.0,4.4,4.4,4.7,1.1,1.5,3.6,3.3,7.3
22,82,58,2412,6.4,13.6,0.47100000000000003,0.6,2.2,0.27399999999999997,5.8,11.4,0.509,2.2,3.1,0.6920000000000001,1.3,4.4,5.8,7.9,1.3,0.6,2.7,2.6,15.6
22,31,0,462,5.0,15.0,0.332,2.1,6.7,0.314,2.9,8.3,0.34600000000000003,0.4,0.6,0.625,0.2,3.5,3.7,4.3,1.1,0.3,2.3,4.1,12.5
31,61,61,1921,7.0,14.7,0.47600000000000003,2.3,5.7,0.41100000000000003,4.7,9.1,0.518,4.3,4.9,0.892,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7
34,63,63,1587,6.0,12.9,0.466,0.5,1.6,0.33299999999999996,5.5,11.3,0.484,1.9,2.7,0.726,0.2,2.4,2.6,6.5,0.8,0.0,2.0,2.1,14.5
24,40,0,346,4.3,9.5,0.451,1.0,3.2,0.32299999999999995,3.2,6.2,0.517,0.8,0.9,0.889,0.4,2.7,3.1,3.5,2.2,0.5,1.6,5.0,10.4
34,75,39,2045,4.7,10.6,0.444,1.9,4.8,0.38799999999999996,2.9,5.8,0.489,0.8,1.1,0.7140000000000001,0.5,2.9,3.4,6.8,1.0,0.1,2.3,3.5,12.1
25,53,2,512,5.1,12.9,0.39899999999999997,2.4,6.5,0.37,2.7,6.4,0.429,2.7,3.4,0.7759999999999999,0.6,3.7,4.3,4.7,2.3,0.1,2.9,2.7,15.3
20,38,8,322,5.6,13.0,0.431,1.0,2.6,0.391,4.6,10.4,0.441,2.3,3.4,0.7,0.7,4.0,4.7,5.4,0.9,0.7,4.2,3.2,14.5
20,55,41,1406,5.3,14.1,0.377,1.4,4.6,0.315,3.9,9.6,0.408,3.4,4.3,0.784,0.7,3.8,4.6,5.6,1.0,0.3,3.1,2.4,15.4
28,80,8,1754,5.6,12.7,0.44,3.0,7.3,0.414,2.6,5.5,0.474,1.4,1.6,0.825,0.5,2.4,2.9,5.7,1.3,0.1,2.1,2.2,15.6
24,81,51,2133,4.0,8.6,0.461,0.2,0.9,0.2,3.8,7.7,0.49200000000000005,1.2,1.5,0.8109999999999999,0.7,3.6,4.2,9.0,2.3,0.2,2.7,2.3,9.4
26,55,9,1205,5.1,11.4,0.446,1.1,3.6,0.308,4.0,7.8,0.51,1.6,2.3,0.688,0.6,3.1,3.7,4.6,1.3,0.1,2.7,3.0,12.8
30,60,60,2244,6.8,14.7,0.46399999999999997,3.1,7.5,0.41200000000000003,3.7,7.2,0.518,4.8,5.9,0.8190000000000001,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6
